序号,课程号,课程名称,课程类型,开课单位,班号,学分,执行计划编号,起止周,上课时间,教师,备注
182,00132371,高等代数I（实验班）,专业必修,数学科学学院,1,5,BZ2526100132371_11294,1-16,星期二(第3节-第4节)星期四(第1节-第2节),安金鹏,
183,00132380,概率统计 (B),专业必修,数学科学学院,1,3,BZ2526100132380_10276,1-16,星期三(第3节-第4节)(单)星期五(第1节-第2节),刘力平,
184,00132380,概率统计 (B),专业必修,数学科学学院,2,3,BZ2526100132380_27487,1-16,星期二(第7节-第8节)(单)星期四(第1节-第2节),邓明华,
185,00132381,几何学I(实验班),专业必修,数学科学学院,1,5,BZ2526100132381_16216,1-16,星期三(第3节-第4节)星期五(第1节-第2节),刘毅,
186,00132511,高等数学A（一）,专业必修,数学科学学院,1,5,BZ2526100132511_10213,1-16,星期二(第1节-第2节)星期四(第3节-第4节),周铁,习题课时间：每周三10-11，教室：三教506、一教302、一教203
187,00132511,高等数学A（一）,专业必修,数学科学学院,2,5,BZ2526100132511_22355,1-16,星期二(第1节-第2节)星期四(第3节-第4节),刘培东,习题课时间：每周三10-11，教室：三教406、一教308、三教304
188,00132511,高等数学A（一）,专业必修,数学科学学院,3,5,BZ2526100132511_35121,1-16,星期二(第1节-第2节)星期四(第3节-第4节),吴金彪,习题课时间：每周三10-11，教室：二教308、二教422、二教423
189,00132511,高等数学A（一）,专业必修,数学科学学院,4,5,BZ2526100132511_43941,1-16,星期二(第1节-第2节)星期四(第3节-第4节),束琳,习题课时间：每周三10-11，教室：二教421、三教106、一教303
190,00132511,高等数学A（一）,专业必修,数学科学学院,5,5,BZ2526100132511_52900,1-16,星期二(第1节-第2节)星期四(第3节-第4节),黄得,习题课时间：每周三10-11，教室：一教204、二教313、三教504
191,00132511,高等数学A（一）,专业必修,数学科学学院,6,5,BZ2526100132511_60248,1-16,星期二(第1节-第2节)星期四(第3节-第4节),戴波,习题课时间：每周三10-11，教室：二教315、一教202、三教404
192,00132511,高等数学A（一）,专业必修,数学科学学院,7,5,BZ2526100132511_75094,1-16,星期二(第1节-第2节)星期四(第3节-第4节),陈大岳,习题课时间：每周三10-11，教室：二教317、一教304、三教508
193,00132611,线性代数A (I),专业必修,数学科学学院,1,4,BZ2526100132611_19081,1-16,星期一(第3节-第4节)星期三(第1节-第2节),赵玉凤,习题课时间：单周周一10-11，教室：一教204、三教208、一教203
194,00132611,线性代数A (I),专业必修,数学科学学院,2,4,BZ2526100132611_28018,1-16,星期一(第3节-第4节)星期三(第1节-第2节),丁一文,习题课时间：单周周一10-11，教室：一教202、三教304、一教304
195,00132611,线性代数A (I),专业必修,数学科学学院,3,4,BZ2526100132611_39047,1-16,星期一(第3节-第4节)星期三(第1节-第2节),高峡,习题课时间：单周周一10-11，教室：三教408、二教313、二教421
196,00132711,高等数学A（一）习题,专业必修,数学科学学院,11,0,BZ2526100132711113286,1-16,星期三(第10节-第11节),束琳,
197,00132711,高等数学A（一）习题,专业必修,数学科学学院,17,0,BZ2526100132711174115,1-16,星期三(第10节-第11节),戴波,
198,00132711,高等数学A（一）习题,专业必修,数学科学学院,1,0,BZ2526100132711_14797,1-16,星期三(第10节-第11节),周铁,
199,00132711,高等数学A（一）习题,专业必修,数学科学学院,8,0,BZ2526100132711_83883,1-16,星期三(第10节-第11节),吴金彪,
200,00132711,高等数学A（一）习题,专业必修,数学科学学院,9,0,BZ2526100132711_97222,1-16,星期三(第10节-第11节),吴金彪,
201,00132711,高等数学A（一）习题,专业必修,数学科学学院,10,0,BZ2526100132711104153,1-16,星期三(第10节-第11节),束琳,
202,00132711,高等数学A（一）习题,专业必修,数学科学学院,12,0,BZ2526100132711121216,1-16,星期三(第10节-第11节),束琳,
203,00132711,高等数学A（一）习题,专业必修,数学科学学院,13,0,BZ2526100132711135604,1-16,星期三(第10节-第11节),黄得,
204,00132711,高等数学A（一）习题,专业必修,数学科学学院,14,0,BZ2526100132711142489,1-16,星期三(第10节-第11节),黄得,
205,00132711,高等数学A（一）习题,专业必修,数学科学学院,15,0,BZ2526100132711157749,1-16,星期三(第10节-第11节),黄得,
206,00132711,高等数学A（一）习题,专业必修,数学科学学院,18,0,BZ2526100132711189202,1-16,星期三(第10节-第11节),戴波,
207,00132711,高等数学A（一）习题,专业必修,数学科学学院,19,0,BZ2526100132711199556,1-16,星期三(第10节-第11节),陈大岳,
208,00132711,高等数学A（一）习题,专业必修,数学科学学院,20,0,BZ2526100132711208196,1-16,星期三(第10节-第11节),陈大岳,
209,00132711,高等数学A（一）习题,专业必修,数学科学学院,21,0,BZ2526100132711216318,1-16,星期三(第10节-第11节),陈大岳,
210,00132711,高等数学A（一）习题,专业必修,数学科学学院,4,0,BZ2526100132711_46096,1-16,星期三(第10节-第11节),刘培东,
211,00132711,高等数学A（一）习题,专业必修,数学科学学院,16,0,BZ2526100132711166385,1-16,星期三(第10节-第11节),戴波,
212,00132711,高等数学A（一）习题,专业必修,数学科学学院,2,0,BZ2526100132711_24458,1-16,星期三(第10节-第11节),周铁,
213,00132711,高等数学A（一）习题,专业必修,数学科学学院,3,0,BZ2526100132711_35789,1-16,星期三(第10节-第11节),周铁,
214,00132711,高等数学A（一）习题,专业必修,数学科学学院,5,0,BZ2526100132711_54119,1-16,星期三(第10节-第11节),刘培东,
215,00132711,高等数学A（一）习题,专业必修,数学科学学院,6,0,BZ2526100132711_60338,1-16,星期三(第10节-第11节),刘培东,
216,00132711,高等数学A（一）习题,专业必修,数学科学学院,7,0,BZ2526100132711_72298,1-16,星期三(第10节-第11节),吴金彪,
217,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,1,0,BZ2526100132811_19022,1-16,星期一(第10节-第11节)(单),赵玉凤,
218,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,2,0,BZ2526100132811_28103,1-16,星期一(第10节-第11节)(单),赵玉凤,
219,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,5,0,BZ2526100132811_59673,1-16,星期一(第10节-第11节)(单),丁一文,
220,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,6,0,BZ2526100132811_69249,1-16,星期一(第10节-第11节)(单),丁一文,
221,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,3,0,BZ2526100132811_30782,1-16,星期一(第10节-第11节)(单),赵玉凤,
222,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,4,0,BZ2526100132811_43322,1-16,星期一(第10节-第11节)(单),丁一文,
223,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,7,0,BZ2526100132811_77418,1-16,星期一(第10节-第11节)(单),高峡,
224,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,8,0,BZ2526100132811_84061,1-16,星期一(第10节-第11节)(单),高峡,
225,00132811,线性代数 A（ I ）习题,专业必修,数学科学学院,9,0,BZ2526100132811_95547,1-16,星期一(第10节-第11节)(单),高峡,
226,00132830,金融数学引论,专业任选,数学科学学院,1,3,BZ2526100132830_15590,1-16,星期三(第10节-第11节)星期五(第1节-第2节)(单),黄海,
227,00133050,应用多元统计分析,专业任选,数学科学学院,1,3,BZ2526100133050_10380,1-16,星期二(第1节-第2节)星期四(第3节-第4节)(双),邱宇谋,
228,00133090,应用随机过程,专业任选,数学科学学院,1,3,BZ2526100133090_14066,1-16,星期二(第3节-第4节)(双)星期四(第7节-第8节),蒋达权,
229,00133567,理论计算机科学与离散数学选讲,专业任选,数学科学学院,1,3,BZ2526100133567_18056,1-16,星期一(第5节-第6节)星期三(第1节-第2节)(双),邵嗣烘,
230,00134330,金融经济学,专业任选,数学科学学院,1,3,BZ2526100134330_16886,1-16,星期二(第5节-第6节)星期四(第3节-第4节)(单),程雪,
231,00135040,程序设计技术与方法,专业任选,数学科学学院,1,3,BZ2526100135040_17527,1-16,星期二(第7节-第8节)(单)星期四(第5节-第6节),孙猛,
232,00135050,理论计算机科学基础,专业任选,数学科学学院,1,3,BZ2526100135050_13026,1-16,星期三(第3节-第4节)星期五(第1节-第2节)(双),夏壁灿,
233,00135450,抽象代数,专业必修,数学科学学院,1,3,BZ2526100135450_18501,1-16,星期一(第1节-第2节)(单)星期四(第7节-第8节),徐茂智,
234,00135450,抽象代数,专业必修,数学科学学院,2,3,BZ2526100135450_22219,1-16,星期一(第1节-第2节)(单)星期四(第7节-第8节),冯荣权,
235,00135460,数理统计,专业任选,数学科学学院,1,3,BZ2526100135460_10910,1-16,星期一(第7节-第8节)星期三(第5节-第6节)(双),周晓华,
236,00135480,风险理论,专业任选,数学科学学院,1,3,BZ2526100135480_17534,1-16,星期一(第3节-第4节)星期三(第7节-第8节)(单),吴岚,
237,00135520,偏微分方程数值解,专业任选,数学科学学院,1,3,BZ2526100135520_19343,1-16,星期三(第1节-第2节)星期五(第1节-第2节)(单),李若,
238,00136540,数值方法：原理，算法及应用,通选课,数学科学学院,1,3,BZ2526100136540_18094,1-16,星期二(第1节-第2节)星期四(第7节-第8节)(双),卢朓,
239,00136680,调和分析,专业任选,数学科学学院,1,3,BZ2526100136680_12731,1-16,星期一(第5节-第6节)(双)星期五(第7节-第8节),韦东奕,研本合上 三教306
240,00136700,普通统计学,通选课,数学科学学院,1,3,BZ2526100136700_12575,1-16,星期一(第5节-第6节)星期三(第7节-第8节)(单),艾明要,
241,00136760,金融数据分析导论,专业任选,数学科学学院,1,3,BZ2526100136760_12203,1-16,星期二(第7节-第8节)星期四(第5节-第6节)(单),何洋波,
242,00136880,数论基础,专业必修,数学科学学院,1,3,BZ2526100136880_13433,1-16,星期三(第5节-第6节)星期五(第5节-第6节)(单),余君,
243,00137150,并行与分布式计算基础,专业必修,数学科学学院,1,3,BZ2526100137150_18537,1-16,星期二(第5节-第6节)(单)星期三(第5节-第6节),杨超,
244,00137913,机器学习数学导引,专业任选,数学科学学院,1,3,BZ2526100137913_10991,1-16,星期四(第3节-第4节)星期五(第3节-第4节)(单),吴磊,
245,00137914,微分流形与拓扑（实验班）,专业任选,数学科学学院,1,3,BZ2526100137914_10603,1-16,星期一(第1节-第2节)星期四(第1节-第2节)(双),杨磊,
246,00137940,高等数学D,专业必修,数学科学学院,1,4,BZ2526100137940_10330,1-16,星期二(第1节-第2节)星期四(第3节-第4节),肖左利,习题课时间：双周二10-11，教室：三教408、理教409、二教309
247,00137940,高等数学D,专业必修,数学科学学院,2,4,BZ2526100137940_29947,1-16,星期二(第1节-第2节)星期四(第3节-第4节),杨磊,习题课时间：双周二10-11，教室：三教403、二教307、二教415
248,00137950,高等数学（D）习题课,专业必修,数学科学学院,3,0,BZ2526100137950_39313,1-16,星期二(第10节-第11节)(双),肖左利,
249,00137950,高等数学（D）习题课,专业必修,数学科学学院,4,0,BZ2526100137950_49077,1-16,星期二(第10节-第11节)(双),杨磊,
250,00137950,高等数学（D）习题课,专业必修,数学科学学院,5,0,BZ2526100137950_50486,1-16,星期二(第10节-第11节)(双),杨磊,
251,00137950,高等数学（D）习题课,专业必修,数学科学学院,1,0,BZ2526100137950_14350,1-16,星期二(第10节-第11节)(双),肖左利,
252,00137950,高等数学（D）习题课,专业必修,数学科学学院,2,0,BZ2526100137950_24306,1-16,星期二(第10节-第11节)(双),肖左利,
253,00137950,高等数学（D）习题课,专业必修,数学科学学院,6,0,BZ2526100137950_63601,1-16,星期二(第10节-第11节)(双),杨磊,
254,00137971,代数学（实验班）I,专业必修,数学科学学院,1,3,BZ2526100137971_18990,1-16,星期一(第10节-第11节)(单)星期四(第7节-第8节),袁新意,
255,00137975,音乐与数学,通选课,数学科学学院,1,3,BZ2526100137975_17251,1-16,星期一(第10节-第12节),王杰,
256,00137976,数学应用与实践,专业任选,数学科学学院,1,1,BZ2526100137976_14805,1-16,,董子静,
257,00137978,曲线模空间,专业任选,数学科学学院,1,3,BZ2526100137978_12616,1-16,星期一(第7节-第8节)星期三(第3节-第4节)(双),Emanuel Gilbert Scheidegger,研本合上 三教506
258,00137990,应用随机过程(实验班),专业必修,数学科学学院,1,3,BZ2526100137990_14179,1-16,星期二(第3节-第4节)(双)星期四(第7节-第8节),丁剑,
259,00137995,现代应用数学介绍,专业任选,数学科学学院,1,2,BZ2526100137995_19059,1-16,星期三(第5节-第6节),鄂维南,
260,00330050,计算方法,专业必修,工学院,1,3,BZ2526100330050_18718,1-16,星期二(第7节-第8节)(单)星期四(第3节-第4节),李水乡,强基力+机，力，力机
261,00330220,自动控制原理,专业必修,工学院,1,3,BZ2526100330220_19314,1-16,星期二(第3节-第4节)星期五(第5节-第6节)(单),黄天云,大三机，力机双
262,00330280,振动理论,专业任选,工学院,1,3,BZ2526100330280_19362,1-16,星期一(第5节-第6节)星期三(第10节-第11节)(单),陈永强,大三大四力工机
263,00330630,工程制图,专业任选,工学院,1,3,BZ2526100330630_12818,1-16,星期一(第7节-第8节)星期四(第5节-第6节)(单),陈军,力强基，工学类
264,00330700,常微分方程,专业必修,工学院,1,3,BZ2526100330700_12800,1-16,星期二(第1节-第2节)星期四(第7节-第8节),国萌,力强基，力工航机，力机
265,00331501,数学分析 (一),专业必修,工学院,1,4,BZ2526100331501_18458,1-16,星期二(第1节-第2节)星期五(第3节-第4节),梅文俊,力强基，工学类
266,00331501,数学分析 (一),专业必修,工学院,2,4,BZ2526100331501_28050,1-16,星期二(第1节-第2节)星期五(第3节-第4节),王圣凯,力强基，工学类
267,00331510,数学分析（三）,专业必修,工学院,1,2,BZ2526100331510_13027,1-16,星期三(第1节-第2节)(单)星期五(第3节-第4节),冯帆,力强基力工机，力工机，力机
268,00331540,弹性力学,专业必修,工学院,1,3,BZ2526100331540_19036,1-16,星期一(第5节-第6节)星期四(第5节-第6节),韦小丁,力（必修），强基力工（选修），工（选修），力机双
269,00331540,弹性力学,专业必修,工学院,2,3,BZ2526100331540_29771,1-16,星期二(第1节-第2节)星期四(第5节-第6节),荣起国,周班
270,00331590,结构力学及其矩阵方法,专业任选,工学院,1,3,BZ2526100331590_14499,1-16,星期三(第7节-第8节)星期五(第1节-第2节)(双),孙树立,工/强基工
271,00331770,线性代数与几何,专业必修,工学院,1,4,BZ2526100331770_13453,1-16,星期一(第3节-第4节)星期三(第5节-第6节)星期五(第1节-第2节)(双),陈璞,力强基，工学类
272,00331770,线性代数与几何,专业必修,工学院,2,4,BZ2526100331770_24920,1-16,星期一(第3节-第4节)星期三(第5节-第6节)星期五(第1节-第2节)(双),陈默涵,力强基，工学类
273,00331770,线性代数与几何,专业必修,工学院,3,4,BZ2526100331770_38597,1-16,星期一(第3节-第4节)星期三(第5节-第6节)星期五(第1节-第2节)(双),孙志勇,力强基，工学类
